date,Generic_Drug,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d,day_of_week,month
2019-01-01,Amoxicillin,14.0,175.0,0.0,0,0.0,0.0,0.0,0.0,1,1
2019-01-02,Amoxicillin,8.0,100.0,0.0,0,0.0,0.0,14.0,0.0,2,1
2019-01-03,Amoxicillin,8.0,358.6,0.0,0,0.0,0.0,11.0,0.0,3,1
2019-01-04,Amoxicillin,10.0,125.0,0.0,0,0.0,0.0,10.0,0.0,4,1
2019-01-05,Amoxicillin,11.0,137.5,0.0,0,0.0,0.0,10.0,0.0,5,1
2019-01-06,Amoxicillin,7.0,87.5,0.0,0,0.0,0.0,10.2,0.0,6,1
2019-01-07,Amoxicillin,14.0,175.0,0.0,0,0.0,0.0,9.666666666666666,0.0,0,1
2019-01-08,Amoxicillin,10.0,125.0,0.0,0,14.0,0.0,10.285714285714286,0.0,1,1
2019-01-09,Amoxicillin,14.0,175.0,0.0,0,8.0,0.0,10.25,0.0,2,1
2019-01-10,Amoxicillin,10.0,125.0,0.0,0,8.0,0.0,10.666666666666666,0.0,3,1
2019-01-11,Amoxicillin,12.0,150.0,0.0,0,10.0,0.0,10.6,0.0,4,1
2019-01-12,Amoxicillin,7.0,87.5,0.0,0,11.0,0.0,10.727272727272727,0.0,5,1
2019-01-13,Amoxicillin,15.0,299.5,0.0,0,7.0,0.0,10.416666666666666,0.0,6,1
2019-01-14,Amoxicillin,13.0,162.5,0.0,0,14.0,0.0,10.76923076923077,0.0,0,1
2019-01-15,Amoxicillin,7.0,87.5,0.0,0,10.0,0.0,10.928571428571429,0.0,1,1
2019-01-16,Amoxicillin,10.0,125.0,0.0,0,14.0,0.0,10.428571428571429,0.0,2,1
2019-01-17,Amoxicillin,10.0,125.0,0.0,0,10.0,0.0,10.571428571428571,0.0,3,1
2019-01-18,Amoxicillin,5.0,62.5,0.0,0,12.0,0.0,10.714285714285714,0.0,4,1
2019-01-19,Amoxicillin,9.0,112.5,0.0,0,7.0,0.0,10.357142857142858,0.0,5,1
2019-01-20,Amoxicillin,13.0,162.5,0.0,0,15.0,0.0,10.214285714285714,0.0,6,1
2019-01-21,Amoxicillin,12.0,150.0,0.0,0,13.0,0.0,10.642857142857142,0.0,0,1
2019-01-22,Amoxicillin,12.0,150.0,0.0,0,7.0,0.0,10.5,0.0,1,1
2019-01-23,Amoxicillin,8.0,100.0,0.0,0,10.0,0.0,10.642857142857142,0.0,2,1
2019-01-24,Amoxicillin,11.0,137.5,0.0,0,10.0,0.0,10.214285714285714,0.0,3,1
2019-01-25,Amoxicillin,6.0,75.0,0.0,0,5.0,0.0,10.285714285714286,0.0,4,1
2019-01-26,Amoxicillin,7.0,87.5,0.0,0,9.0,0.0,9.857142857142858,0.0,5,1
2019-01-27,Amoxicillin,8.0,100.0,0.0,0,13.0,0.0,9.857142857142858,0.0,6,1
2019-01-28,Amoxicillin,8.0,100.0,0.0,0,12.0,0.0,9.357142857142858,0.0,0,1
2019-01-29,Amoxicillin,13.0,162.5,0.0,0,12.0,0.0,9.0,0.0,1,1
