brand_name,generic_name,status,reason_for_shortage,update_date,initial_posting_date
VECURONIUM BROMIDE,VECURONIUM BROMIDE,To Be Discontinued,,09/08/2025,09/08/2025
HEPARIN SODIUM IN SODIUM CHLORIDE,HEPARIN SODIUM,Current,,03/23/2026,11/14/2017
,Quinapril Hydrochloride Tablet,To Be Discontinued,,10/01/2025,10/01/2025
CLONAZEPAM,CLONAZEPAM,Current,,10/15/2025,03/10/2023
LORAZEPAM,LORAZEPAM,Current,,03/12/2026,09/05/2018
BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,Current,,03/13/2026,02/20/2018
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,Current,,02/09/2026,12/15/2021
BACLOFEN,BACLOFEN,To Be Discontinued,,04/23/2025,04/23/2025
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/17/2026,10/31/2017
RIFAMPIN,RIFAMPIN,Current,,03/02/2026,12/22/2021
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/17/2026,04/10/2020
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
CELECOXIB,CELECOXIB,To Be Discontinued,,08/15/2025,08/15/2025
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/13/2026,04/02/2020
BUMETANIDE,BUMETANIDE,To Be Discontinued,,05/02/2025,05/02/2025
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/23/2026,06/06/2018
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,11/13/2025,03/27/2018
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/19/2026,10/12/2022
CLINDAMYCIN PALMITATE HYDROCHLORIDE (PEDIATRIC),CLINDAMYCIN PALMITATE HYDROCHLORIDE,To Be Discontinued,,03/26/2026,03/26/2026
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
LIDOCAINE HYDROCHLORIDE AND DEXTROSE,LIDOCAINE HYDROCHLORIDE ANHYDROUS AND DEXTROSE MONOHYDRATE,Current,,03/19/2026,10/25/2017
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,Current,,03/12/2026,11/06/2017
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/17/2026,04/02/2020
CLONAZEPAM,CLONAZEPAM,Current,,01/05/2026,03/10/2023
