date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Amoxicillin,120,26,4788.57,4,1,BioPharma India,10,24.73,22.0,24.84,20
2024-01-02,Amoxicillin,102,24,4363.68,4,1,BioPharma India,7,22.78,26.66,26.75,8
2024-01-03,Amoxicillin,85,23,4058.96,4,1,BioPharma India,14,22.62,25.19,24.6,16
2024-01-04,Amoxicillin,67,23,4336.13,3,1,BioPharma India,7,26.43,22.75,25.06,3
2024-01-05,Amoxicillin,50,25,4351.74,2,1,BioPharma India,14,27.21,25.47,24.54,4
2024-01-06,Amoxicillin,32,23,3973.44,4,1,BioPharma India,10,25.92,25.82,26.33,12
2024-01-07,Amoxicillin,15,24,4390.21,3,1,BioPharma India,7,23.54,25.51,23.13,6
2024-01-08,Amoxicillin,1,26,4808.76,5,1,BioPharma India,7,27.13,26.7,24.31,30
2024-01-09,Amoxicillin,1,21,3693.57,5,1,BioPharma India,7,27.33,25.8,24.1,25
2024-01-10,Amoxicillin,1,20,3708.79,2,1,BioPharma India,10,24.62,24.21,24.17,14
2024-01-11,Amoxicillin,1,26,4787.18,4,1,BioPharma India,5,27.13,26.13,26.66,4
2024-01-12,Amoxicillin,1,27,4919.92,3,1,BioPharma India,14,24.35,26.27,25.66,12
2024-01-13,Amoxicillin,1,27,4846.5,2,1,BioPharma India,7,26.74,26.66,23.94,12
2024-01-14,Amoxicillin,1,25,4497.21,4,1,BioPharma India,10,23.05,24.55,23.81,28
2024-01-15,Amoxicillin,120,32,5872.62,2,1,BioPharma India,10,24.55,26.92,23.92,14
2024-01-16,Amoxicillin,102,21,3700.53,2,1,BioPharma India,7,25.62,23.47,23.42,8
2024-01-17,Amoxicillin,85,23,4302.52,4,1,BioPharma India,7,23.11,23.92,26.63,4
2024-01-18,Amoxicillin,67,26,4552.67,3,1,BioPharma India,14,24.26,23.54,23.66,9
2024-01-19,Amoxicillin,50,20,3463.15,3,1,BioPharma India,10,23.34,22.89,25.23,12
2024-01-20,Amoxicillin,32,23,4083.54,5,1,BioPharma India,14,23.73,26.47,25.85,25
2024-01-21,Amoxicillin,15,25,4298.17,3,1,BioPharma India,5,25.67,26.36,25.12,6
2024-01-22,Amoxicillin,1,32,6039.73,3,1,BioPharma India,14,22.9,24.02,23.97,18
2024-01-23,Amoxicillin,1,29,5289.7,4,1,BioPharma India,14,26.49,22.38,25.03,20
2024-01-24,Amoxicillin,1,20,3729.01,3,1,BioPharma India,14,22.58,25.09,23.91,21
2024-01-25,Amoxicillin,1,26,4626.99,5,1,BioPharma India,5,25.88,26.76,23.84,35
2024-01-26,Amoxicillin,1,22,4109.43,3,1,BioPharma India,14,23.37,28.62,25.07,3
2024-01-27,Amoxicillin,1,24,4491.6,5,1,BioPharma India,10,23.44,23.34,25.8,15
2024-01-28,Amoxicillin,1,24,4473.93,3,1,BioPharma India,5,25.71,21.88,23.65,18
2024-01-29,Amoxicillin,120,27,4797.93,5,1,BioPharma India,5,22.53,22.46,25.19,30
2024-01-30,Amoxicillin,102,30,5372.15,5,1,BioPharma India,14,26.06,23.03,24.3,20
2024-01-31,Amoxicillin,85,29,5335.33,3,1,BioPharma India,14,22.97,24.01,24.06,18
2024-02-01,Amoxicillin,67,22,3995.59,5,1,BioPharma India,10,26.96,25.98,26.18,30
2024-02-02,Amoxicillin,50,29,5410.1,3,1,BioPharma India,14,23.9,21.43,25.58,3
2024-02-03,Amoxicillin,32,28,5289.25,3,1,BioPharma India,7,27.07,24.03,23.06,15
2024-02-04,Amoxicillin,15,26,4896.97,5,1,BioPharma India,10,24.03,22.68,24.07,15
2024-02-05,Amoxicillin,1,24,4177.22,4,1,BioPharma India,10,26.72,28.23,23.28,8
2024-02-06,Amoxicillin,1,25,4669.82,4,1,BioPharma India,5,23.18,26.57,25.21,8
2024-02-07,Amoxicillin,1,21,3896.94,5,1,BioPharma India,5,25.56,21.86,23.02,20
2024-02-08,Amoxicillin,1,26,4774.52,4,1,BioPharma India,14,26.93,21.46,25.32,28
2024-02-09,Amoxicillin,1,28,5126.7,3,1,BioPharma India,7,25.21,23.4,25.36,18
2024-02-10,Amoxicillin,1,26,4598.87,5,1,BioPharma India,14,23.58,25.92,23.34,25
2024-02-11,Amoxicillin,1,19,3315.48,3,1,BioPharma India,10,25.69,26.7,26.9,12
2024-02-12,Amoxicillin,120,21,3872.25,3,1,BioPharma India,7,27.31,27.52,25.78,15
2024-02-13,Amoxicillin,102,19,3268.9,5,1,BioPharma India,10,23.75,25.37,25.86,25
2024-02-14,Amoxicillin,85,26,4732.29,3,1,BioPharma India,14,25.33,22.44,23.48,15
2024-02-15,Amoxicillin,67,29,5019.59,2,1,BioPharma India,5,24.06,28.6,23.7,4
2024-02-16,Amoxicillin,50,27,4785.3,3,1,BioPharma India,5,24.49,25.87,25.54,6
2024-02-17,Amoxicillin,32,26,4568.1,2,1,BioPharma India,10,25.02,27.67,25.63,8
2024-02-18,Amoxicillin,15,26,4887.91,5,1,BioPharma India,14,27.2,25.57,24.55,20
2024-02-19,Amoxicillin,1,25,4332.83,5,1,BioPharma India,10,27.21,24.15,26.84,10
2024-02-20,Amoxicillin,1,22,3846.98,3,1,BioPharma India,5,22.97,26.37,23.28,15
2024-02-21,Amoxicillin,1,22,4096.57,2,1,BioPharma India,7,23.8,24.97,25.77,4
2024-02-22,Amoxicillin,1,27,4974.24,5,1,BioPharma India,5,25.24,24.43,25.27,15
2024-02-23,Amoxicillin,1,25,4720.73,3,1,BioPharma India,7,23.75,25.6,26.47,15
2024-02-24,Amoxicillin,1,27,4976.6,3,1,BioPharma India,7,27.01,25.04,26.31,18
2024-02-25,Amoxicillin,1,21,3703.51,2,1,BioPharma India,14,22.55,28.04,23.37,14
2024-02-26,Amoxicillin,120,25,4492.13,3,1,BioPharma India,14,24.74,23.45,24.31,9
2024-02-27,Amoxicillin,102,25,4370.73,5,1,BioPharma India,14,26.45,21.93,24.98,35
2024-02-28,Amoxicillin,85,25,4592.62,5,1,BioPharma India,5,26.31,25.89,23.4,35
2024-02-29,Amoxicillin,67,30,5360.09,3,1,BioPharma India,5,26.61,26.55,23.33,15
2024-03-01,Amoxicillin,50,26,4849.95,5,1,BioPharma India,5,27.24,28.65,26.01,30
2024-03-02,Amoxicillin,32,20,3674.95,3,1,BioPharma India,14,25.29,24.43,26.63,21
2024-03-03,Amoxicillin,15,20,3565.87,4,1,BioPharma India,14,23.09,22.13,25.6,4
2024-03-04,Amoxicillin,1,23,4214.95,3,1,BioPharma India,5,24.37,23.39,26.47,18
2024-03-05,Amoxicillin,1,29,5469.46,4,1,BioPharma India,10,26.96,25.21,26.97,20
2024-03-06,Amoxicillin,1,24,4213.29,4,1,BioPharma India,5,25.12,25.97,25.78,28
2024-03-07,Amoxicillin,1,29,5436.76,5,1,BioPharma India,14,26.95,24.67,25.48,10
2024-03-08,Amoxicillin,1,22,3836.5,3,1,BioPharma India,7,23.65,23.24,24.44,12
2024-03-09,Amoxicillin,1,19,3527.32,4,1,BioPharma India,5,23.17,21.82,26.76,12
2024-03-10,Amoxicillin,1,26,4785.64,4,1,BioPharma India,7,22.91,27.82,25.21,20
2024-03-11,Amoxicillin,120,24,4454.16,5,1,BioPharma India,5,24.38,26.87,24.57,15
2024-03-12,Amoxicillin,102,24,4467.8,5,1,BioPharma India,7,22.68,22.25,23.05,35
2024-03-13,Amoxicillin,85,25,4724.87,5,1,BioPharma India,5,25.43,26.7,26.03,15
2024-03-14,Amoxicillin,67,25,4386.31,3,1,BioPharma India,7,23.76,23.31,23.83,3
2024-03-15,Amoxicillin,50,28,4968.51,2,1,BioPharma India,7,24.99,24.82,26.33,4
2024-03-16,Amoxicillin,32,29,5403.84,4,1,BioPharma India,5,22.94,27.19,25.36,28
2024-03-17,Amoxicillin,15,29,5070.17,2,1,BioPharma India,14,27.4,25.81,25.55,14
2024-03-18,Amoxicillin,1,27,4829.61,5,1,BioPharma India,14,25.24,24.63,26.64,30
2024-03-19,Amoxicillin,1,27,5078.47,2,1,BioPharma India,14,26.71,27.02,23.26,10
2024-03-20,Amoxicillin,1,25,4716.01,3,1,BioPharma India,5,23.55,25.6,24.37,21
2024-03-21,Amoxicillin,1,21,3721.66,5,1,BioPharma India,10,25.08,28.55,25.41,15
2024-03-22,Amoxicillin,1,26,4465.13,2,1,BioPharma India,14,24.24,21.49,25.19,10
2024-03-23,Amoxicillin,1,20,3551.14,4,1,BioPharma India,5,24.11,21.94,24.92,24
2024-03-24,Amoxicillin,1,24,4139.32,5,1,BioPharma India,10,24.39,21.27,26.47,5
2024-03-25,Amoxicillin,120,25,4516.47,5,1,BioPharma India,7,25.59,24.02,24.85,25
2024-03-26,Amoxicillin,102,25,4303.05,2,1,BioPharma India,10,26.07,27.96,25.05,14
2024-03-27,Amoxicillin,85,21,3630.64,4,1,BioPharma India,14,22.6,23.67,23.85,8
2024-03-28,Amoxicillin,67,20,3612.72,3,1,BioPharma India,5,25.47,26.34,26.16,15
2024-03-29,Amoxicillin,50,32,5896.41,4,1,BioPharma India,14,24.66,22.21,24.14,24
2024-03-30,Amoxicillin,32,23,4305.45,4,1,BioPharma India,10,24.28,28.65,25.42,4
2024-01-01,Azithromycin,80,17,3695.24,1,1,SunPharma Ltd,7,16.82,20.14,16.79,3
2024-01-02,Azithromycin,67,13,2598.48,2,1,SunPharma Ltd,14,16.6,17.45,19.35,8
2024-01-03,Azithromycin,54,21,4551.5,2,1,SunPharma Ltd,10,18.26,16.81,18.78,12
2024-01-04,Azithromycin,42,17,3737.07,2,1,SunPharma Ltd,14,18.03,16.61,16.89,4
2024-01-05,Azithromycin,29,17,3572.18,3,1,SunPharma Ltd,5,18.12,15.58,17.53,6
2024-01-06,Azithromycin,17,18,3798.37,2,1,SunPharma Ltd,7,17.36,19.67,17.29,10
2024-01-07,Azithromycin,4,23,4972.14,1,1,SunPharma Ltd,5,19.19,20.51,16.92,3
2024-01-08,Azithromycin,1,16,3507.28,1,1,SunPharma Ltd,10,19.54,19.2,16.7,5
2024-01-09,Azithromycin,1,18,3667.22,1,1,SunPharma Ltd,5,16.87,16.57,18.39,6
2024-01-10,Azithromycin,1,17,3519.6,3,1,SunPharma Ltd,5,18.66,17.74,18.62,9
2024-01-11,Azithromycin,1,19,3965.56,2,1,SunPharma Ltd,5,19.44,17.37,18.13,6
2024-01-12,Azithromycin,1,22,4639.8,2,1,SunPharma Ltd,10,18.46,17.11,16.96,14
2024-01-13,Azithromycin,1,17,3656.2,2,1,SunPharma Ltd,5,16.75,16.98,17.28,14
2024-01-14,Azithromycin,1,20,4050.11,1,1,SunPharma Ltd,7,18.94,20.03,17.55,6
2024-01-15,Azithromycin,80,13,2718.26,2,1,SunPharma Ltd,10,19.07,16.11,17.22,8
2024-01-16,Azithromycin,67,19,4098.48,1,1,SunPharma Ltd,10,18.7,18.23,17.29,5
2024-01-17,Azithromycin,54,15,3125.93,1,1,SunPharma Ltd,10,16.75,18.47,18.02,1
2024-01-18,Azithromycin,42,16,3278.02,2,1,SunPharma Ltd,10,19.56,18.35,18.57,10
2024-01-19,Azithromycin,29,16,3385.63,2,1,SunPharma Ltd,7,16.48,15.86,18.98,6
2024-01-20,Azithromycin,17,19,3970.38,1,1,SunPharma Ltd,5,16.8,16.31,18.97,1
2024-01-21,Azithromycin,4,18,3814.5,1,1,SunPharma Ltd,5,18.88,16.41,18.83,2
2024-01-22,Azithromycin,1,20,4130.07,1,1,SunPharma Ltd,5,19.31,20.28,17.9,3
2024-01-23,Azithromycin,1,17,3471.68,2,1,SunPharma Ltd,10,17.09,18.42,17.04,10
2024-01-24,Azithromycin,1,21,4592.95,1,1,SunPharma Ltd,10,17.2,16.49,17.17,1
2024-01-25,Azithromycin,1,17,3421.97,3,1,SunPharma Ltd,5,17.28,16.97,17.7,9
2024-01-26,Azithromycin,1,15,3058.62,3,1,SunPharma Ltd,14,17.89,18.67,17.65,9
2024-01-27,Azithromycin,1,20,4175.12,2,1,SunPharma Ltd,7,18.96,15.86,17.52,14
2024-01-28,Azithromycin,1,12,2632.42,1,1,SunPharma Ltd,7,19.43,18.14,18.87,7
2024-01-29,Azithromycin,80,19,4053.41,1,1,SunPharma Ltd,10,17.11,16.36,18.02,6
2024-01-30,Azithromycin,67,16,3306.0,2,1,SunPharma Ltd,10,18.55,16.59,16.85,12
2024-01-31,Azithromycin,54,20,4394.31,3,1,SunPharma Ltd,7,16.94,16.88,19.14,21
2024-02-01,Azithromycin,42,18,3830.37,2,1,SunPharma Ltd,5,16.3,16.28,18.24,8
2024-02-02,Azithromycin,29,19,4039.78,1,1,SunPharma Ltd,10,17.57,18.49,17.33,5
2024-02-03,Azithromycin,17,18,3721.48,2,1,SunPharma Ltd,5,17.77,16.89,19.29,12
2024-02-04,Azithromycin,4,17,3593.48,3,1,SunPharma Ltd,10,19.08,17.6,16.62,18
2024-02-05,Azithromycin,1,18,3871.36,2,1,SunPharma Ltd,5,17.13,16.05,18.96,8
2024-02-06,Azithromycin,1,20,4335.49,2,1,SunPharma Ltd,7,18.28,16.78,18.16,2
2024-02-07,Azithromycin,1,20,4198.94,2,1,SunPharma Ltd,5,16.24,16.04,19.15,12
2024-02-08,Azithromycin,1,16,3404.72,2,1,SunPharma Ltd,7,19.49,17.56,17.66,4
2024-02-09,Azithromycin,1,19,3958.89,1,1,SunPharma Ltd,7,18.86,15.75,18.3,2
2024-02-10,Azithromycin,1,19,4078.39,2,1,SunPharma Ltd,7,17.91,18.88,19.26,10
2024-02-11,Azithromycin,1,17,3564.2,1,1,SunPharma Ltd,10,17.14,18.51,16.71,6
2024-02-12,Azithromycin,80,16,3307.71,1,1,SunPharma Ltd,5,17.98,19.02,17.81,7
2024-02-13,Azithromycin,67,22,4424.08,1,1,SunPharma Ltd,14,18.7,16.77,18.26,3
2024-02-14,Azithromycin,54,20,4394.08,2,1,SunPharma Ltd,5,17.81,16.3,18.12,6
2024-02-15,Azithromycin,42,16,3438.03,3,1,SunPharma Ltd,10,18.81,18.74,19.38,6
2024-02-16,Azithromycin,29,14,3083.37,3,1,SunPharma Ltd,10,16.36,18.48,19.44,6
2024-02-17,Azithromycin,17,17,3594.26,3,1,SunPharma Ltd,7,16.63,19.25,17.11,6
2024-02-18,Azithromycin,4,20,4302.93,1,1,SunPharma Ltd,10,17.35,19.78,16.67,7
