date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Atorvastatin,600,14,1365.31,0,0,Cipla Mumbai,7,11.34,10.67,11.81,0
2024-01-02,Atorvastatin,591,11,1061.4,0,0,Cipla Mumbai,14,10.83,11.22,11.13,0
2024-01-03,Atorvastatin,583,10,988.59,0,0,Cipla Mumbai,14,13.14,11.54,11.86,0
2024-01-04,Atorvastatin,574,10,976.29,0,0,Cipla Mumbai,14,11.18,13.27,11.13,0
2024-01-05,Atorvastatin,566,8,748.4,0,0,Cipla Mumbai,10,11.37,12.84,12.09,0
2024-01-06,Atorvastatin,558,13,1282.19,0,0,Cipla Mumbai,5,10.93,11.71,11.54,0
2024-01-07,Atorvastatin,549,12,1099.53,0,0,Cipla Mumbai,10,11.28,12.24,11.93,0
2024-01-08,Atorvastatin,541,11,1091.72,0,0,Cipla Mumbai,14,11.64,10.61,11.33,0
2024-01-09,Atorvastatin,532,10,967.46,0,0,Cipla Mumbai,5,12.06,10.61,12.69,0
2024-01-10,Atorvastatin,524,11,1049.45,0,0,Cipla Mumbai,10,12.5,12.16,11.2,0
2024-01-11,Atorvastatin,516,11,1007.48,0,0,Cipla Mumbai,7,12.84,12.61,11.93,0
2024-01-12,Atorvastatin,507,13,1253.65,0,0,Cipla Mumbai,7,11.5,13.03,11.25,0
2024-01-13,Atorvastatin,499,11,1074.92,0,0,Cipla Mumbai,14,11.62,13.34,12.09,0
2024-01-14,Atorvastatin,490,11,1071.83,0,0,Cipla Mumbai,7,10.84,10.65,12.31,0
2024-01-15,Atorvastatin,600,11,1039.9,0,0,Cipla Mumbai,7,12.6,12.21,12.1,0
2024-01-16,Atorvastatin,591,12,1122.18,0,0,Cipla Mumbai,14,12.09,11.99,11.24,0
2024-01-17,Atorvastatin,583,8,729.1,0,0,Cipla Mumbai,5,13.11,10.93,12.04,0
2024-01-18,Atorvastatin,574,10,977.82,0,0,Cipla Mumbai,14,11.46,11.32,12.27,0
2024-01-19,Atorvastatin,566,12,1101.01,0,0,Cipla Mumbai,14,12.14,10.8,12.22,0
2024-01-20,Atorvastatin,558,13,1285.16,0,0,Cipla Mumbai,7,11.21,12.03,12.19,0
2024-01-21,Atorvastatin,549,10,944.33,0,0,Cipla Mumbai,7,13.12,13.28,11.27,0
2024-01-22,Atorvastatin,541,12,1140.59,0,0,Cipla Mumbai,14,13.17,11.95,11.28,0
2024-01-23,Atorvastatin,532,10,986.28,0,0,Cipla Mumbai,10,12.37,10.67,12.36,0
2024-01-24,Atorvastatin,524,12,1143.12,0,0,Cipla Mumbai,5,12.78,10.96,11.77,0
2024-01-25,Atorvastatin,516,12,1176.37,0,0,Cipla Mumbai,7,11.07,12.93,12.94,0
2024-01-26,Atorvastatin,507,11,1078.61,0,0,Cipla Mumbai,14,11.55,11.12,12.61,0
2024-01-27,Atorvastatin,499,10,970.14,0,0,Cipla Mumbai,14,11.01,12.79,11.85,0
2024-01-28,Atorvastatin,490,11,1029.11,0,0,Cipla Mumbai,10,11.26,12.41,11.88,0
2024-01-29,Atorvastatin,600,13,1277.45,0,0,Cipla Mumbai,10,12.32,10.65,12.34,0
2024-01-30,Atorvastatin,591,12,1118.9,0,0,Cipla Mumbai,14,10.97,10.83,12.68,0
2024-01-31,Atorvastatin,583,11,1083.29,0,0,Cipla Mumbai,10,11.53,10.97,11.1,0
2024-02-01,Atorvastatin,574,11,1035.42,0,0,Cipla Mumbai,14,13.05,13.34,12.51,0
2024-02-02,Atorvastatin,566,13,1173.27,0,0,Cipla Mumbai,10,11.07,11.81,11.92,0
2024-02-03,Atorvastatin,558,12,1126.5,0,0,Cipla Mumbai,7,11.71,13.72,11.25,0
2024-02-04,Atorvastatin,549,11,995.59,0,0,Cipla Mumbai,7,11.47,13.29,11.6,0
2024-02-05,Atorvastatin,541,11,1079.07,0,0,Cipla Mumbai,10,12.73,10.26,12.89,0
2024-02-06,Atorvastatin,532,14,1334.35,0,0,Cipla Mumbai,10,12.89,10.61,12.39,0
2024-02-07,Atorvastatin,524,13,1181.69,0,0,Cipla Mumbai,5,11.38,10.24,11.94,0
2024-02-08,Atorvastatin,516,13,1247.2,0,0,Cipla Mumbai,10,12.97,13.27,12.32,0
2024-02-09,Atorvastatin,507,10,934.84,0,0,Cipla Mumbai,14,11.24,10.48,11.5,0
2024-02-10,Atorvastatin,499,11,1020.73,0,0,Cipla Mumbai,7,12.85,12.08,11.16,0
2024-02-11,Atorvastatin,490,9,831.08,0,0,Cipla Mumbai,14,11.08,10.54,12.79,0
2024-02-12,Atorvastatin,600,11,1087.92,0,0,Cipla Mumbai,7,12.66,12.37,12.75,0
2024-02-13,Atorvastatin,591,12,1102.45,0,0,Cipla Mumbai,5,12.32,12.33,12.39,0
2024-02-14,Atorvastatin,583,10,924.75,0,0,Cipla Mumbai,14,11.97,12.55,12.87,0
2024-02-15,Atorvastatin,574,12,1136.91,0,0,Cipla Mumbai,5,12.02,12.48,11.18,0
2024-02-16,Atorvastatin,566,13,1202.75,0,0,Cipla Mumbai,7,13.13,11.39,11.97,0
2024-02-17,Atorvastatin,558,12,1152.63,0,0,Cipla Mumbai,5,11.94,12.33,12.07,0
2024-02-18,Atorvastatin,549,13,1243.9,0,0,Cipla Mumbai,7,11.75,10.36,11.57,0
2024-02-19,Atorvastatin,541,11,1022.49,0,0,Cipla Mumbai,5,11.07,11.44,12.01,0
2024-02-20,Atorvastatin,532,11,1089.88,0,0,Cipla Mumbai,5,11.75,11.72,11.83,0
2024-02-21,Atorvastatin,524,11,1067.37,0,0,Cipla Mumbai,14,12.42,11.27,12.42,0
2024-02-22,Atorvastatin,516,11,1019.67,0,0,Cipla Mumbai,10,10.9,13.34,11.53,0
2024-02-23,Atorvastatin,507,12,1126.76,0,0,Cipla Mumbai,10,12.39,10.53,12.18,0
2024-02-24,Atorvastatin,499,11,1026.3,0,0,Cipla Mumbai,5,13.06,12.61,12.34,0
2024-02-25,Atorvastatin,490,13,1282.92,0,0,Cipla Mumbai,5,10.82,12.49,12.79,0
2024-02-26,Atorvastatin,600,11,1059.41,0,0,Cipla Mumbai,5,12.97,10.44,12.07,0
2024-02-27,Atorvastatin,591,11,993.97,0,0,Cipla Mumbai,7,12.08,11.82,11.2,0
2024-02-28,Atorvastatin,583,9,874.59,0,0,Cipla Mumbai,5,10.96,11.59,12.68,0
2024-02-29,Atorvastatin,574,13,1256.36,0,0,Cipla Mumbai,10,12.1,13.3,12.17,0
2024-03-01,Atorvastatin,566,12,1180.76,0,0,Cipla Mumbai,10,12.62,10.56,12.75,0
