date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Metformin,300,25,1399.15,0,0,Lupin Pharma,14,26.37,24.29,28.23,0
2024-01-02,Metformin,280,26,1410.5,0,0,Lupin Pharma,14,27.13,30.55,28.18,0
2024-01-03,Metformin,260,30,1591.98,0,0,Lupin Pharma,5,26.0,25.07,27.7,0
2024-01-04,Metformin,241,33,1835.76,0,0,Lupin Pharma,7,29.43,28.73,29.47,0
2024-01-05,Metformin,221,31,1775.89,0,0,Lupin Pharma,7,26.75,31.7,26.32,0
2024-01-06,Metformin,202,25,1442.07,0,0,Lupin Pharma,7,29.24,24.14,27.58,0
2024-01-07,Metformin,182,29,1613.81,0,1,Lupin Pharma,7,25.68,30.64,27.02,0
2024-01-08,Metformin,162,26,1408.77,0,1,Lupin Pharma,10,27.33,24.26,28.45,0
2024-01-09,Metformin,143,33,1888.61,0,1,Lupin Pharma,10,29.79,30.74,28.39,0
2024-01-10,Metformin,123,27,1485.53,0,1,Lupin Pharma,7,29.83,29.1,29.27,0
2024-01-11,Metformin,104,27,1472.4,0,1,Lupin Pharma,5,28.4,25.35,26.03,0
2024-01-12,Metformin,84,28,1584.31,0,1,Lupin Pharma,10,26.47,29.4,26.12,0
2024-01-13,Metformin,64,25,1388.48,0,1,Lupin Pharma,7,28.07,27.86,27.47,0
2024-01-14,Metformin,45,30,1599.54,0,1,Lupin Pharma,10,25.55,24.4,28.33,0
2024-01-15,Metformin,300,26,1489.71,0,0,Lupin Pharma,7,26.24,28.35,28.65,0
2024-01-16,Metformin,280,26,1405.75,0,0,Lupin Pharma,14,26.86,24.45,26.52,0
2024-01-17,Metformin,260,30,1679.79,0,0,Lupin Pharma,10,30.74,29.55,30.01,0
2024-01-18,Metformin,241,30,1720.63,0,0,Lupin Pharma,14,25.63,23.84,28.76,0
2024-01-19,Metformin,221,31,1690.28,0,0,Lupin Pharma,14,27.08,25.29,26.2,0
