date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Paracetamol,60,38,727.3,2,1,Govt Supply Chain,14,33.01,32.81,33.17,8
2024-01-02,Paracetamol,35,33,687.12,4,1,Govt Supply Chain,10,37.19,38.84,33.16,16
2024-01-03,Paracetamol,11,43,820.4,3,1,Govt Supply Chain,14,33.47,37.33,37.03,6
2024-01-04,Paracetamol,1,39,748.29,3,1,Govt Supply Chain,10,31.87,34.43,32.48,12
2024-01-05,Paracetamol,1,34,667.08,5,1,Govt Supply Chain,5,35.26,29.8,32.61,5
2024-01-06,Paracetamol,1,41,841.59,2,1,Govt Supply Chain,5,36.48,39.97,36.63,2
2024-01-07,Paracetamol,1,23,437.33,5,1,Govt Supply Chain,14,35.99,34.09,33.84,30
2024-01-08,Paracetamol,1,29,606.45,4,1,Govt Supply Chain,5,38.28,39.55,37.08,16
2024-01-09,Paracetamol,1,40,797.67,2,1,Govt Supply Chain,7,35.54,36.5,36.96,8
2024-01-10,Paracetamol,1,29,576.29,4,1,Govt Supply Chain,5,33.98,31.14,35.96,24
2024-01-11,Paracetamol,1,38,785.46,5,1,Govt Supply Chain,10,37.64,30.17,36.71,30
2024-01-12,Paracetamol,1,35,667.17,5,1,Govt Supply Chain,10,33.94,37.04,33.09,20
2024-01-13,Paracetamol,1,42,874.57,3,1,Govt Supply Chain,10,33.15,36.69,34.4,15
2024-01-14,Paracetamol,1,38,780.27,3,1,Govt Supply Chain,5,33.92,38.53,32.77,18
2024-01-15,Paracetamol,60,32,659.58,3,1,Govt Supply Chain,7,36.46,29.97,32.4,15
2024-01-16,Paracetamol,35,31,593.87,3,1,Govt Supply Chain,14,33.1,37.52,33.93,9
2024-01-17,Paracetamol,11,36,719.52,2,1,Govt Supply Chain,7,35.82,29.78,32.25,2
2024-01-18,Paracetamol,1,40,782.74,4,1,Govt Supply Chain,5,34.68,38.82,37.33,24
2024-01-19,Paracetamol,1,42,853.74,4,1,Govt Supply Chain,5,35.04,29.94,37.42,28
2024-01-20,Paracetamol,1,25,494.15,4,1,Govt Supply Chain,5,37.07,31.17,34.71,20
2024-01-21,Paracetamol,1,38,758.77,3,1,Govt Supply Chain,7,37.71,34.53,35.31,6
2024-01-22,Paracetamol,1,35,728.76,5,1,Govt Supply Chain,7,33.49,34.33,35.75,35
2024-01-23,Paracetamol,1,33,659.84,2,1,Govt Supply Chain,10,35.15,29.89,32.31,12
2024-01-24,Paracetamol,1,35,670.21,4,1,Govt Supply Chain,5,31.91,39.42,37.1,8
2024-01-25,Paracetamol,1,31,636.44,3,1,Govt Supply Chain,14,33.58,30.1,35.5,9
2024-01-26,Paracetamol,1,40,809.49,3,1,Govt Supply Chain,5,38.46,34.81,36.43,3
2024-01-27,Paracetamol,1,33,666.1,5,1,Govt Supply Chain,7,36.08,32.64,37.62,20
2024-01-28,Paracetamol,1,31,601.49,5,1,Govt Supply Chain,7,32.84,33.03,34.92,5
2024-01-29,Paracetamol,60,37,733.78,4,1,Govt Supply Chain,10,32.24,36.98,33.09,20
2024-01-30,Paracetamol,35,33,686.93,5,1,Govt Supply Chain,5,31.58,37.11,32.83,25
2024-01-31,Paracetamol,11,35,726.56,3,1,Govt Supply Chain,7,36.86,30.48,34.88,6
2024-02-01,Paracetamol,1,30,626.71,3,1,Govt Supply Chain,7,35.38,35.29,36.48,18
2024-02-02,Paracetamol,1,37,749.34,4,1,Govt Supply Chain,5,36.92,36.64,34.84,28
2024-02-03,Paracetamol,1,36,703.07,5,1,Govt Supply Chain,10,35.88,39.11,35.03,25
2024-02-04,Paracetamol,1,40,768.32,5,1,Govt Supply Chain,7,37.24,35.89,35.05,30
2024-02-05,Paracetamol,1,37,737.17,3,1,Govt Supply Chain,5,36.66,30.49,37.04,15
2024-02-06,Paracetamol,1,39,745.05,5,1,Govt Supply Chain,7,36.79,32.65,37.27,15
2024-02-07,Paracetamol,1,39,810.17,3,1,Govt Supply Chain,10,33.99,30.81,37.59,18
2024-02-08,Paracetamol,1,32,640.09,3,1,Govt Supply Chain,14,32.44,33.06,34.92,3
2024-02-09,Paracetamol,1,37,771.24,4,1,Govt Supply Chain,5,32.51,32.43,37.32,12
2024-02-10,Paracetamol,1,40,774.11,5,1,Govt Supply Chain,10,33.34,32.11,34.81,30
2024-02-11,Paracetamol,1,20,417.89,3,1,Govt Supply Chain,7,37.62,30.62,37.32,9
2024-02-12,Paracetamol,60,32,634.02,3,1,Govt Supply Chain,7,38.1,39.23,37.08,15
2024-02-13,Paracetamol,35,31,620.57,2,1,Govt Supply Chain,14,32.22,30.88,32.77,14
2024-02-14,Paracetamol,11,32,627.35,5,1,Govt Supply Chain,14,37.51,35.49,35.39,10
2024-02-15,Paracetamol,1,33,664.06,2,1,Govt Supply Chain,10,31.82,35.46,34.1,8
2024-02-16,Paracetamol,1,36,695.85,4,1,Govt Supply Chain,7,37.24,39.26,32.87,8
2024-02-17,Paracetamol,1,31,632.12,5,1,Govt Supply Chain,7,36.18,38.81,33.11,20
2024-02-18,Paracetamol,1,36,707.09,4,1,Govt Supply Chain,14,38.37,40.07,37.38,4
2024-02-19,Paracetamol,1,33,643.92,2,1,Govt Supply Chain,7,34.36,33.18,36.37,10
2024-02-20,Paracetamol,1,33,659.0,3,1,Govt Supply Chain,5,32.38,31.04,33.03,6
2024-02-21,Paracetamol,1,29,575.95,5,1,Govt Supply Chain,7,34.52,37.77,37.76,5
2024-02-22,Paracetamol,1,32,616.99,4,1,Govt Supply Chain,10,37.27,38.74,37.39,4
2024-02-23,Paracetamol,1,35,731.39,5,1,Govt Supply Chain,5,38.23,35.5,32.56,5
2024-02-24,Paracetamol,1,34,670.76,4,1,Govt Supply Chain,14,35.91,32.83,34.29,4
2024-02-25,Paracetamol,1,29,553.35,5,1,Govt Supply Chain,10,36.5,34.79,34.45,25
2024-02-26,Paracetamol,60,35,686.23,3,1,Govt Supply Chain,7,36.18,39.96,35.6,6
2024-02-27,Paracetamol,35,37,735.76,5,1,Govt Supply Chain,7,33.13,36.13,34.45,35
2024-02-28,Paracetamol,11,37,717.0,4,1,Govt Supply Chain,14,35.38,31.73,32.51,20
2024-02-29,Paracetamol,1,31,610.84,3,1,Govt Supply Chain,10,37.95,31.8,37.58,9
2024-03-01,Paracetamol,1,34,693.18,3,1,Govt Supply Chain,5,32.4,31.04,35.67,15
2024-03-02,Paracetamol,1,37,755.29,5,1,Govt Supply Chain,5,36.02,29.89,33.11,25
2024-03-03,Paracetamol,1,37,775.88,5,1,Govt Supply Chain,7,36.44,32.21,33.71,20
2024-03-04,Paracetamol,1,32,642.6,5,1,Govt Supply Chain,5,36.62,31.37,36.99,15
2024-03-05,Paracetamol,1,39,748.76,4,1,Govt Supply Chain,5,33.34,31.47,34.23,20
2024-03-06,Paracetamol,1,41,827.28,2,1,Govt Supply Chain,5,35.01,37.92,36.91,4
2024-03-07,Paracetamol,1,30,575.68,5,1,Govt Supply Chain,5,33.94,37.33,32.65,30
2024-03-08,Paracetamol,1,40,807.14,4,1,Govt Supply Chain,5,31.93,31.46,37.21,24
2024-03-09,Paracetamol,1,30,607.56,2,1,Govt Supply Chain,7,34.33,33.57,33.41,8
2024-03-10,Paracetamol,1,39,779.66,3,1,Govt Supply Chain,5,35.68,34.2,34.7,12
2024-03-11,Paracetamol,60,26,529.77,5,1,Govt Supply Chain,10,32.77,30.65,36.2,35
2024-03-12,Paracetamol,35,35,713.31,3,1,Govt Supply Chain,5,32.54,35.57,35.15,12
2024-03-13,Paracetamol,11,39,792.93,3,1,Govt Supply Chain,10,32.78,34.28,36.78,3
2024-03-14,Paracetamol,1,29,603.01,3,1,Govt Supply Chain,5,31.54,30.12,37.31,6
2024-03-15,Paracetamol,1,29,592.06,4,1,Govt Supply Chain,10,32.68,38.5,33.29,8
2024-03-16,Paracetamol,1,40,794.97,3,1,Govt Supply Chain,14,34.98,30.74,33.83,9
2024-03-17,Paracetamol,1,29,565.91,3,1,Govt Supply Chain,7,35.78,30.17,37.25,3
2024-03-18,Paracetamol,1,32,632.55,5,1,Govt Supply Chain,10,37.33,37.08,33.83,25
2024-03-19,Paracetamol,1,24,479.86,4,1,Govt Supply Chain,7,35.31,29.83,32.73,16
2024-03-20,Paracetamol,1,36,693.95,3,1,Govt Supply Chain,10,36.52,32.37,37.12,15
2024-03-21,Paracetamol,1,31,605.85,3,1,Govt Supply Chain,5,32.01,38.68,33.39,21
2024-03-22,Paracetamol,1,37,743.17,5,1,Govt Supply Chain,5,33.43,38.07,33.46,5
2024-03-23,Paracetamol,1,27,545.76,5,1,Govt Supply Chain,14,33.07,34.94,37.58,10
2024-03-24,Paracetamol,1,31,626.79,5,1,Govt Supply Chain,14,35.34,37.61,36.59,20
2024-03-25,Paracetamol,60,35,704.22,4,1,Govt Supply Chain,7,37.03,37.35,33.73,4
2024-03-26,Paracetamol,35,25,507.02,3,1,Govt Supply Chain,10,34.19,38.53,33.03,3
2024-03-27,Paracetamol,11,37,761.39,3,1,Govt Supply Chain,7,37.32,32.82,37.1,9
2024-03-28,Paracetamol,1,38,766.91,5,1,Govt Supply Chain,7,38.23,34.57,33.54,20
2024-03-29,Paracetamol,1,37,772.98,3,1,Govt Supply Chain,14,37.49,35.32,33.63,3
2024-03-30,Paracetamol,1,38,736.34,4,1,Govt Supply Chain,7,35.52,38.38,32.36,20
2024-01-01,ORS Sachets,40,43,344.01,5,1,Govt Supply Chain,14,44.79,39.16,43.57,10
2024-01-02,ORS Sachets,10,39,307.86,4,1,Govt Supply Chain,7,43.74,39.46,41.41,16
2024-01-03,ORS Sachets,1,50,416.67,4,1,Govt Supply Chain,14,40.92,44.77,43.18,12
2024-01-04,ORS Sachets,1,45,361.24,4,1,Govt Supply Chain,14,39.67,46.09,42.73,16
2024-01-05,ORS Sachets,1,44,359.92,5,1,Govt Supply Chain,7,45.25,45.91,41.16,10
2024-01-06,ORS Sachets,1,40,335.92,3,1,Govt Supply Chain,14,39.28,45.61,40.74,21
2024-01-07,ORS Sachets,1,47,364.27,4,1,Govt Supply Chain,7,44.57,43.29,40.63,4
2024-01-08,ORS Sachets,1,35,289.54,3,1,Govt Supply Chain,14,41.57,39.74,43.64,9
2024-01-09,ORS Sachets,1,47,378.48,2,1,Govt Supply Chain,10,40.72,44.28,41.15,2
2024-01-10,ORS Sachets,1,41,326.05,5,1,Govt Supply Chain,10,42.65,36.22,42.18,30
2024-01-11,ORS Sachets,1,41,332.04,2,1,Govt Supply Chain,7,45.31,47.98,38.95,14
2024-01-12,ORS Sachets,1,40,312.41,2,1,Govt Supply Chain,14,43.18,37.21,41.89,8
2024-01-13,ORS Sachets,1,38,293.28,2,1,Govt Supply Chain,5,44.62,45.88,39.92,10
2024-01-14,ORS Sachets,1,42,341.69,3,1,Govt Supply Chain,10,44.94,44.85,44.3,15
2024-01-15,ORS Sachets,40,30,234.66,4,1,Govt Supply Chain,7,44.82,40.93,43.78,20
2024-01-16,ORS Sachets,10,42,330.03,5,1,Govt Supply Chain,7,42.15,42.98,43.68,25
2024-01-17,ORS Sachets,1,36,300.37,2,1,Govt Supply Chain,14,42.97,41.78,39.27,14
2024-01-18,ORS Sachets,1,37,289.26,2,1,Govt Supply Chain,14,40.37,46.26,39.13,2
2024-01-19,ORS Sachets,1,36,286.9,5,1,Govt Supply Chain,14,40.69,39.19,45.34,25
