date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Imatinib,15,2,16794.57,0,0,Novartis India,5,1.98,2.21,2.0,0
2024-01-02,Imatinib,13,2,16833.67,0,1,Novartis India,7,1.88,2.11,1.95,0
2024-01-03,Imatinib,12,2,16236.45,0,1,Novartis India,5,1.96,1.9,1.84,0
2024-01-04,Imatinib,10,2,17754.44,1,1,Novartis India,14,2.0,1.97,2.09,5
2024-01-05,Imatinib,9,1,8703.14,0,0,Novartis India,5,1.86,2.25,1.86,0
2024-01-06,Imatinib,8,2,16561.24,0,1,Novartis India,5,2.01,2.17,1.91,0
2024-01-07,Imatinib,6,2,17533.51,0,1,Novartis India,7,1.86,2.22,1.99,0
2024-01-08,Imatinib,5,2,17685.79,0,1,Novartis India,5,2.14,2.12,1.93,0
2024-01-09,Imatinib,3,1,8450.83,0,1,Novartis India,14,2.17,1.93,2.02,0
2024-01-10,Imatinib,2,2,17162.1,2,1,Novartis India,10,2.2,2.27,2.11,4
2024-01-11,Imatinib,1,2,16636.51,0,1,Novartis India,10,2.17,2.06,2.1,0
2024-01-12,Imatinib,1,1,8486.05,1,1,Novartis India,7,1.84,2.0,1.89,7
2024-01-13,Imatinib,1,2,17152.72,0,1,Novartis India,10,2.0,2.27,1.99,0
2024-01-14,Imatinib,1,2,17033.06,1,1,Novartis India,7,2.16,2.25,2.14,6
2024-01-15,Imatinib,15,1,8298.17,0,0,Novartis India,7,1.85,1.73,1.97,0
2024-01-16,Imatinib,13,2,17350.6,1,1,Novartis India,10,2.01,2.11,2.05,6
2024-01-17,Imatinib,12,2,17761.69,0,1,Novartis India,10,1.99,1.9,2.07,0
2024-01-18,Imatinib,10,1,8341.07,1,0,Novartis India,5,2.18,1.98,1.97,7
2024-01-19,Imatinib,9,2,17794.26,0,1,Novartis India,5,1.93,2.16,1.91,0
2024-01-20,Imatinib,8,1,8271.3,1,0,Novartis India,10,1.96,1.82,1.9,4
2024-01-21,Imatinib,6,2,16738.38,0,1,Novartis India,7,2.18,2.22,2.0,0
2024-01-22,Imatinib,5,2,16469.67,2,1,Novartis India,7,1.97,1.79,1.99,12
2024-01-23,Imatinib,3,1,8219.25,1,1,Novartis India,7,1.85,2.01,2.09,6
2024-01-24,Imatinib,2,1,8213.48,0,1,Novartis India,14,1.88,1.81,1.88,0
2024-01-25,Imatinib,1,2,16683.08,1,1,Novartis India,10,2.04,2.11,1.85,7
2024-01-26,Imatinib,1,1,8411.05,1,1,Novartis India,7,1.81,2.21,2.06,7
2024-01-27,Imatinib,1,2,16671.55,0,1,Novartis India,10,2.14,2.09,1.95,0
2024-01-28,Imatinib,1,2,17456.4,0,1,Novartis India,14,1.9,1.75,1.86,0
2024-01-29,Imatinib,15,2,16399.72,2,0,Novartis India,5,2.09,1.91,2.1,12
2024-01-30,Imatinib,13,2,17434.23,0,1,Novartis India,14,2.11,1.9,1.9,0
2024-01-31,Imatinib,12,2,17024.49,0,1,Novartis India,14,1.96,2.07,1.96,0
2024-02-01,Imatinib,10,2,16220.13,0,1,Novartis India,5,2.02,2.16,1.87,0
2024-02-02,Imatinib,9,2,17143.78,0,1,Novartis India,5,2.01,2.04,2.14,0
2024-02-03,Imatinib,8,1,8353.32,0,0,Novartis India,5,2.11,1.82,1.88,0
2024-02-04,Imatinib,6,1,8334.09,0,1,Novartis India,5,2.19,2.02,1.88,0
2024-02-05,Imatinib,5,1,8102.25,0,1,Novartis India,14,2.18,2.12,2.03,0
2024-02-06,Imatinib,3,1,8626.35,1,1,Novartis India,5,2.07,1.82,2.0,4
2024-02-07,Imatinib,2,2,17649.68,1,1,Novartis India,5,2.11,2.1,1.97,7
2024-02-08,Imatinib,1,2,17707.92,0,1,Novartis India,5,2.16,1.85,2.07,0
2024-02-09,Imatinib,1,2,17488.33,0,1,Novartis India,7,2.08,1.77,1.97,0
2024-02-10,Imatinib,1,2,16161.54,0,1,Novartis India,5,2.19,1.73,2.02,0
2024-02-11,Imatinib,1,1,8882.15,2,1,Novartis India,7,2.02,1.9,1.89,10
2024-02-12,Imatinib,15,2,17281.37,2,0,Novartis India,10,1.8,1.96,1.9,10
2024-02-13,Imatinib,13,1,8319.91,1,0,Novartis India,7,2.01,1.86,1.91,2
2024-02-14,Imatinib,12,1,8430.62,1,0,Novartis India,14,2.02,1.95,2.02,7
2024-02-15,Imatinib,10,1,8894.73,0,0,Novartis India,10,2.07,2.23,2.1,0
2024-02-16,Imatinib,9,1,8245.3,2,0,Novartis India,10,2.09,2.14,1.87,4
2024-02-17,Imatinib,8,2,17124.57,0,1,Novartis India,5,1.82,1.71,1.96,0
2024-02-18,Imatinib,6,2,16734.0,2,1,Novartis India,5,1.8,1.8,1.85,14
2024-02-19,Imatinib,5,1,8846.96,0,1,Novartis India,10,1.99,1.79,1.92,0
2024-02-20,Imatinib,3,1,8814.42,1,1,Novartis India,5,2.05,1.84,2.03,2
2024-02-21,Imatinib,2,1,8924.58,1,1,Novartis India,10,1.92,2.04,2.15,2
2024-02-22,Imatinib,1,1,8650.56,2,1,Novartis India,5,2.07,1.82,1.87,8
2024-02-23,Imatinib,1,1,8142.07,0,1,Novartis India,14,1.93,1.86,2.0,0
2024-02-24,Imatinib,1,2,17051.45,0,1,Novartis India,7,1.87,1.91,2.08,0
2024-02-25,Imatinib,1,2,17512.73,1,1,Novartis India,10,2.04,2.04,1.99,2
2024-02-26,Imatinib,15,2,16451.87,0,0,Novartis India,7,1.83,2.29,2.15,0
2024-02-27,Imatinib,13,2,17425.16,1,1,Novartis India,7,1.99,2.2,2.14,7
2024-02-28,Imatinib,12,2,17280.73,0,1,Novartis India,5,2.15,2.03,1.94,0
2024-02-29,Imatinib,10,1,8649.09,0,0,Novartis India,10,1.98,1.9,1.99,0
2024-03-01,Imatinib,9,2,16890.29,0,1,Novartis India,10,1.95,1.9,1.9,0
2024-03-02,Imatinib,8,1,8713.48,2,0,Novartis India,7,1.81,2.09,2.08,2
2024-03-03,Imatinib,6,2,17727.28,0,1,Novartis India,10,2.05,1.95,2.02,0
2024-03-04,Imatinib,5,2,16321.37,0,1,Novartis India,7,2.1,2.26,2.03,0
2024-03-05,Imatinib,3,1,8850.4,2,1,Novartis India,10,1.88,1.86,2.0,6
2024-03-06,Imatinib,2,2,17642.32,2,1,Novartis India,5,2.18,1.82,1.94,8
2024-03-07,Imatinib,1,1,8858.66,0,1,Novartis India,10,1.92,2.07,1.99,0
2024-03-08,Imatinib,1,2,16544.63,0,1,Novartis India,14,2.06,2.24,2.12,0
2024-03-09,Imatinib,1,1,8521.19,0,1,Novartis India,5,1.88,2.19,2.13,0
2024-03-10,Imatinib,1,2,16588.87,0,1,Novartis India,5,2.04,2.12,1.98,0
2024-03-11,Imatinib,15,2,17679.76,1,0,Novartis India,5,2.12,2.08,1.94,6
2024-03-12,Imatinib,13,2,16369.31,1,1,Novartis India,7,1.98,1.73,2.15,2
2024-03-13,Imatinib,12,2,16857.4,0,1,Novartis India,5,1.97,2.15,1.91,0
2024-03-14,Imatinib,10,2,16424.41,0,1,Novartis India,5,2.19,2.28,1.97,0
2024-03-15,Imatinib,9,1,8217.92,2,0,Novartis India,7,2.0,1.94,1.91,8
2024-03-16,Imatinib,8,2,16528.43,0,1,Novartis India,5,2.07,2.08,1.99,0
2024-03-17,Imatinib,6,1,8220.94,0,1,Novartis India,7,2.17,2.27,1.84,0
2024-03-18,Imatinib,5,1,8286.97,2,1,Novartis India,14,1.81,2.22,1.89,4
2024-03-19,Imatinib,3,2,17309.12,2,1,Novartis India,14,1.84,1.96,1.88,8
2024-03-20,Imatinib,2,2,16174.6,0,1,Novartis India,14,2.07,1.74,1.94,0
2024-03-21,Imatinib,1,2,16825.91,1,1,Novartis India,7,2.16,2.23,2.11,4
2024-03-22,Imatinib,1,1,8407.67,2,1,Novartis India,10,1.99,2.0,2.0,8
2024-03-23,Imatinib,1,1,8272.02,2,1,Novartis India,5,1.98,2.19,2.1,6
2024-03-24,Imatinib,1,1,8407.92,2,1,Novartis India,10,2.07,1.94,1.98,12
2024-03-25,Imatinib,15,1,8268.37,0,0,Novartis India,7,1.87,1.74,2.08,0
2024-03-26,Imatinib,13,1,8473.92,0,0,Novartis India,7,2.07,1.98,1.96,0
