date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Salbutamol,250,26,2293.7,0,0,GSK India,10,31.58,30.97,28.09,0
2024-01-02,Salbutamol,229,27,2203.4,0,0,GSK India,14,31.02,27.08,29.87,0
2024-01-03,Salbutamol,208,32,2771.74,0,1,GSK India,10,27.83,31.56,30.46,0
2024-01-04,Salbutamol,187,33,2755.64,0,1,GSK India,10,29.35,26.89,29.41,0
2024-01-05,Salbutamol,166,31,2602.56,0,1,GSK India,14,30.32,28.76,29.35,0
2024-01-06,Salbutamol,145,34,2756.84,1,1,GSK India,7,28.1,29.32,29.48,7
2024-01-07,Salbutamol,124,26,2160.92,0,1,GSK India,10,30.62,29.44,31.55,0
2024-01-08,Salbutamol,103,29,2515.0,0,1,GSK India,14,27.35,33.66,28.51,0
2024-01-09,Salbutamol,82,30,2501.85,0,1,GSK India,14,32.08,29.82,32.04,0
2024-01-10,Salbutamol,61,32,2669.81,0,1,GSK India,5,30.95,34.28,31.79,0
2024-01-11,Salbutamol,40,30,2512.22,0,1,GSK India,10,28.59,31.09,30.1,0
2024-01-12,Salbutamol,19,33,2802.68,0,1,GSK India,7,31.09,26.41,29.18,0
2024-01-13,Salbutamol,1,29,2366.47,0,1,GSK India,5,29.91,28.52,28.0,0
2024-01-14,Salbutamol,1,25,2199.42,0,1,GSK India,5,32.86,26.5,28.62,0
2024-01-15,Salbutamol,250,30,2580.38,0,0,GSK India,7,32.95,26.43,27.85,0
2024-01-16,Salbutamol,229,28,2421.42,0,0,GSK India,5,27.68,25.8,28.1,0
2024-01-17,Salbutamol,208,25,2098.38,0,0,GSK India,5,30.57,28.33,30.29,0
2024-01-18,Salbutamol,187,32,2665.45,1,1,GSK India,5,29.47,32.37,28.08,4
2024-01-19,Salbutamol,166,27,2218.94,0,1,GSK India,5,27.72,33.82,27.97,0
2024-01-20,Salbutamol,145,29,2578.57,0,1,GSK India,7,29.34,32.17,30.49,0
2024-01-21,Salbutamol,124,30,2477.58,0,1,GSK India,14,29.51,28.13,31.27,0
2024-01-22,Salbutamol,103,31,2708.82,0,1,GSK India,7,27.07,29.35,29.57,0
2024-01-23,Salbutamol,82,29,2583.78,0,1,GSK India,10,30.6,26.36,29.44,0
2024-01-24,Salbutamol,61,30,2572.82,0,1,GSK India,10,29.81,34.4,31.87,0
2024-01-25,Salbutamol,40,36,2912.25,0,1,GSK India,10,29.11,28.32,30.88,0
2024-01-26,Salbutamol,19,27,2183.09,0,1,GSK India,7,27.05,34.23,29.67,0
2024-01-27,Salbutamol,1,27,2242.81,0,1,GSK India,10,32.47,27.25,30.54,0
2024-01-28,Salbutamol,1,30,2455.29,0,1,GSK India,5,29.06,26.45,28.5,0
2024-01-29,Salbutamol,250,26,2314.59,0,0,GSK India,10,29.05,31.46,29.84,0
2024-01-30,Salbutamol,229,32,2626.41,0,0,GSK India,5,27.31,33.75,31.96,0
2024-01-31,Salbutamol,208,27,2303.52,0,0,GSK India,10,29.9,32.61,29.89,0
2024-02-01,Salbutamol,187,25,2183.4,0,0,GSK India,14,28.96,26.2,29.99,0
2024-02-02,Salbutamol,166,28,2328.01,0,1,GSK India,5,32.1,34.06,30.33,0
2024-02-03,Salbutamol,145,33,2875.39,0,1,GSK India,10,31.16,31.12,27.67,0
2024-02-04,Salbutamol,124,30,2547.34,0,1,GSK India,5,27.09,32.92,31.82,0
2024-02-05,Salbutamol,103,39,3375.58,0,1,GSK India,5,31.43,26.66,29.43,0
2024-02-06,Salbutamol,82,26,2217.85,0,1,GSK India,5,30.2,31.24,29.06,0
2024-02-07,Salbutamol,61,31,2766.41,0,1,GSK India,10,30.46,31.67,28.18,0
2024-02-08,Salbutamol,40,32,2642.2,1,1,GSK India,7,28.07,25.51,31.7,1
2024-02-09,Salbutamol,19,31,2709.04,0,1,GSK India,5,31.21,33.92,30.8,0
2024-02-10,Salbutamol,1,24,2051.51,0,1,GSK India,7,30.88,34.37,27.84,0
2024-02-11,Salbutamol,1,37,3121.21,0,1,GSK India,14,32.73,29.85,29.19,0
2024-02-12,Salbutamol,250,26,2128.09,0,0,GSK India,5,28.39,26.59,27.63,0
2024-02-13,Salbutamol,229,26,2282.11,0,0,GSK India,14,28.85,33.39,31.35,0
2024-02-14,Salbutamol,208,35,2992.78,0,1,GSK India,5,29.81,29.32,28.99,0
2024-02-15,Salbutamol,187,31,2747.41,0,1,GSK India,10,31.67,28.16,28.78,0
2024-02-16,Salbutamol,166,25,2179.55,0,1,GSK India,7,31.08,28.13,29.19,0
2024-02-17,Salbutamol,145,25,2134.78,0,1,GSK India,10,29.25,27.95,28.02,0
2024-02-18,Salbutamol,124,24,1941.21,0,1,GSK India,10,28.27,29.04,27.91,0
2024-02-19,Salbutamol,103,24,2056.68,0,1,GSK India,14,28.24,28.52,28.24,0
2024-02-20,Salbutamol,82,29,2496.21,0,1,GSK India,10,32.04,32.76,27.68,0
2024-02-21,Salbutamol,61,31,2675.82,0,1,GSK India,10,28.35,29.71,28.8,0
2024-02-22,Salbutamol,40,28,2496.52,0,1,GSK India,5,29.16,34.4,31.36,0
2024-02-23,Salbutamol,19,32,2821.3,0,1,GSK India,5,27.33,33.08,30.71,0
2024-02-24,Salbutamol,1,31,2721.56,1,1,GSK India,5,30.7,27.2,28.52,1
2024-02-25,Salbutamol,1,29,2423.85,0,1,GSK India,7,27.9,30.72,30.78,0
2024-02-26,Salbutamol,250,31,2665.76,0,0,GSK India,7,28.54,26.41,30.51,0
2024-02-27,Salbutamol,229,32,2711.85,0,0,GSK India,10,29.92,26.71,28.99,0
2024-02-28,Salbutamol,208,33,2884.97,0,1,GSK India,10,31.67,27.74,30.86,0
2024-02-29,Salbutamol,187,36,3146.99,0,1,GSK India,7,31.35,26.04,30.39,0
2024-03-01,Salbutamol,166,32,2718.54,0,1,GSK India,14,30.57,28.6,27.77,0
2024-03-02,Salbutamol,145,37,3167.6,0,1,GSK India,10,31.81,33.74,31.23,0
2024-03-03,Salbutamol,124,35,2985.05,0,1,GSK India,5,32.29,31.25,29.46,0
2024-03-04,Salbutamol,103,33,2840.22,0,1,GSK India,10,31.17,29.45,30.25,0
2024-03-05,Salbutamol,82,28,2398.03,0,1,GSK India,14,31.92,29.56,30.5,0
2024-03-06,Salbutamol,61,37,3282.06,0,1,GSK India,10,28.62,25.81,28.85,0
2024-03-07,Salbutamol,40,34,2912.09,0,1,GSK India,14,31.41,33.24,32.12,0
2024-03-08,Salbutamol,19,30,2529.51,0,1,GSK India,10,29.15,33.73,30.36,0
2024-03-09,Salbutamol,1,26,2223.88,0,1,GSK India,10,31.31,27.44,31.07,0
2024-03-10,Salbutamol,1,25,2079.17,0,1,GSK India,5,29.42,31.61,31.27,0
2024-03-11,Salbutamol,250,27,2236.41,0,0,GSK India,7,29.37,27.12,28.97,0
2024-03-12,Salbutamol,229,30,2662.68,0,0,GSK India,14,31.42,25.57,30.19,0
2024-03-13,Salbutamol,208,35,3086.87,0,1,GSK India,10,29.68,28.62,31.61,0
2024-03-14,Salbutamol,187,27,2216.81,0,1,GSK India,10,27.43,26.35,30.4,0
2024-03-15,Salbutamol,166,31,2693.29,0,1,GSK India,14,31.47,27.71,31.1,0
2024-03-16,Salbutamol,145,33,2776.24,0,1,GSK India,10,29.24,33.11,30.57,0
2024-03-17,Salbutamol,124,27,2316.01,0,1,GSK India,7,30.36,31.76,28.17,0
2024-03-18,Salbutamol,103,36,2953.14,0,1,GSK India,7,28.7,32.1,28.12,0
2024-03-19,Salbutamol,82,32,2622.32,0,1,GSK India,7,29.86,25.95,30.53,0
2024-03-20,Salbutamol,61,33,2753.54,0,1,GSK India,10,30.3,26.6,28.14,0
2024-03-21,Salbutamol,40,30,2443.76,0,1,GSK India,5,27.51,33.63,31.95,0
2024-03-22,Salbutamol,19,27,2296.69,0,1,GSK India,7,31.97,30.63,29.07,0
2024-03-23,Salbutamol,1,34,2943.45,1,1,GSK India,7,29.81,27.6,30.43,3
2024-03-24,Salbutamol,1,22,1792.11,0,1,GSK India,10,30.5,29.89,28.5,0
2024-03-25,Salbutamol,250,33,2691.33,0,0,GSK India,14,29.23,25.75,28.26,0
2024-03-26,Salbutamol,229,40,3502.66,0,1,GSK India,14,32.02,28.86,31.8,0
2024-03-27,Salbutamol,208,26,2236.64,0,0,GSK India,5,29.6,27.99,32.28,0
2024-03-28,Salbutamol,187,28,2483.59,0,1,GSK India,7,31.94,30.78,30.54,0
2024-03-29,Salbutamol,166,27,2276.5,0,1,GSK India,5,30.68,27.36,28.3,0
2024-03-30,Salbutamol,145,21,1855.91,0,1,GSK India,14,27.11,29.01,30.92,0
2024-01-01,Budesonide,180,21,4347.92,0,0,AstraZeneca,5,20.51,22.66,21.97,0
2024-01-02,Budesonide,164,22,4829.02,0,0,AstraZeneca,10,21.48,21.17,21.1,0
2024-01-03,Budesonide,149,22,4413.4,0,1,AstraZeneca,10,22.41,24.61,20.62,0
2024-01-04,Budesonide,133,21,4452.63,0,1,AstraZeneca,7,20.24,21.32,22.03,0
2024-01-05,Budesonide,118,22,4833.18,0,1,AstraZeneca,10,21.62,22.75,20.99,0
2024-01-06,Budesonide,103,21,4459.05,0,1,AstraZeneca,14,21.2,19.68,23.03,0
2024-01-07,Budesonide,87,21,4266.03,0,1,AstraZeneca,10,21.67,22.37,20.99,0
2024-01-08,Budesonide,72,19,3950.34,0,1,AstraZeneca,14,22.1,20.28,23.38,0
2024-01-09,Budesonide,56,21,4312.31,0,1,AstraZeneca,5,21.91,22.25,21.97,0
2024-01-10,Budesonide,41,18,3746.27,0,1,AstraZeneca,10,21.32,20.94,22.23,0
2024-01-11,Budesonide,26,20,4081.34,0,1,AstraZeneca,14,24.08,23.86,20.73,0
2024-01-12,Budesonide,10,27,5613.28,0,1,AstraZeneca,5,22.37,23.09,22.75,0
2024-01-13,Budesonide,1,18,3955.97,0,1,AstraZeneca,5,22.54,23.1,22.16,0
2024-01-14,Budesonide,1,22,4525.8,0,1,AstraZeneca,7,22.23,21.92,20.64,0
2024-01-15,Budesonide,180,21,4520.73,0,0,AstraZeneca,5,22.7,22.12,20.83,0
2024-01-16,Budesonide,164,21,4404.27,0,0,AstraZeneca,14,21.97,24.47,23.36,0
2024-01-17,Budesonide,149,19,4133.91,0,0,AstraZeneca,5,23.6,22.64,22.26,0
2024-01-18,Budesonide,133,20,4234.43,0,1,AstraZeneca,14,22.23,25.09,23.75,0
2024-01-19,Budesonide,118,19,4125.2,0,1,AstraZeneca,10,20.05,22.04,23.31,0
2024-01-20,Budesonide,103,24,5146.65,0,1,AstraZeneca,7,21.69,21.07,21.79,0
2024-01-21,Budesonide,87,21,4438.66,0,1,AstraZeneca,10,22.15,20.93,22.56,0
2024-01-22,Budesonide,72,19,3936.82,0,1,AstraZeneca,14,20.55,20.58,21.23,0
2024-01-23,Budesonide,56,23,4688.28,0,1,AstraZeneca,10,22.12,20.13,23.35,0
2024-01-24,Budesonide,41,24,5092.09,0,1,AstraZeneca,14,22.51,20.63,21.72,0
2024-01-25,Budesonide,26,22,4652.21,0,1,AstraZeneca,10,19.82,18.88,23.14,0
2024-01-26,Budesonide,10,20,4261.95,0,1,AstraZeneca,10,21.67,23.52,22.44,0
2024-01-27,Budesonide,1,25,5071.95,0,1,AstraZeneca,14,20.54,23.5,20.89,0
2024-01-28,Budesonide,1,24,4820.9,0,1,AstraZeneca,7,21.31,24.69,23.57,0
2024-01-29,Budesonide,180,21,4532.78,0,0,AstraZeneca,7,20.13,19.43,21.59,0
2024-01-30,Budesonide,164,20,4055.23,0,0,AstraZeneca,14,21.41,18.99,23.67,0
2024-01-31,Budesonide,149,23,4682.17,0,1,AstraZeneca,7,24.11,25.07,20.81,0
2024-02-01,Budesonide,133,23,4861.66,0,1,AstraZeneca,14,21.62,18.94,21.37,0
2024-02-02,Budesonide,118,22,4580.4,1,1,AstraZeneca,7,23.37,23.63,22.21,4
2024-02-03,Budesonide,103,25,5275.69,0,1,AstraZeneca,14,20.92,24.54,20.64,0
2024-02-04,Budesonide,87,19,3958.29,0,1,AstraZeneca,10,20.95,23.67,21.53,0
2024-02-05,Budesonide,72,18,3830.82,0,1,AstraZeneca,10,22.19,25.14,21.53,0
2024-02-06,Budesonide,56,21,4480.0,0,1,AstraZeneca,5,21.59,25.29,22.28,0
2024-02-07,Budesonide,41,22,4560.49,0,1,AstraZeneca,14,19.94,24.12,21.21,0
2024-02-08,Budesonide,26,19,4179.1,0,1,AstraZeneca,7,23.2,19.28,21.58,0
2024-02-09,Budesonide,10,20,4102.87,0,1,AstraZeneca,5,20.6,22.29,23.59,0
2024-02-10,Budesonide,1,19,3932.69,0,1,AstraZeneca,7,21.93,23.33,21.04,0
2024-02-11,Budesonide,1,24,4968.55,0,1,AstraZeneca,14,22.86,21.35,20.92,0
2024-02-12,Budesonide,180,21,4522.54,0,0,AstraZeneca,14,21.25,21.75,20.96,0
2024-02-13,Budesonide,164,22,4769.78,0,0,AstraZeneca,5,22.94,22.89,21.6,0
2024-02-14,Budesonide,149,20,4191.3,0,0,AstraZeneca,14,21.26,22.28,23.61,0
2024-02-15,Budesonide,133,21,4600.71,0,1,AstraZeneca,10,20.09,22.34,20.61,0
2024-02-16,Budesonide,118,22,4571.14,0,1,AstraZeneca,5,22.74,19.9,22.4,0
2024-02-17,Budesonide,103,21,4305.58,0,1,AstraZeneca,14,23.93,18.73,23.36,0
2024-02-18,Budesonide,87,17,3513.17,1,1,AstraZeneca,10,20.29,23.5,23.56,1
2024-02-19,Budesonide,72,15,3109.74,0,1,AstraZeneca,14,20.96,19.0,20.25,0
2024-02-20,Budesonide,56,27,5536.2,0,1,AstraZeneca,5,22.17,22.61,22.15,0
2024-02-21,Budesonide,41,16,3374.87,0,1,AstraZeneca,10,21.54,19.94,22.22,0
2024-02-22,Budesonide,26,27,5859.04,0,1,AstraZeneca,5,20.77,23.55,22.91,0
2024-02-23,Budesonide,10,23,4855.82,1,1,AstraZeneca,7,20.21,19.0,20.63,2
2024-02-24,Budesonide,1,21,4219.09,0,1,AstraZeneca,14,24.0,25.03,23.19,0
2024-02-25,Budesonide,1,23,4764.98,0,1,AstraZeneca,5,22.26,24.31,23.75,0
2024-02-26,Budesonide,180,23,4760.64,0,0,AstraZeneca,14,22.24,24.14,22.02,0
2024-02-27,Budesonide,164,20,4217.59,0,0,AstraZeneca,10,20.45,24.35,22.62,0
2024-02-28,Budesonide,149,23,4626.52,0,1,AstraZeneca,10,21.18,23.09,23.2,0
2024-02-29,Budesonide,133,24,5138.9,0,1,AstraZeneca,7,23.25,24.62,21.78,0
2024-03-01,Budesonide,118,23,4709.5,0,1,AstraZeneca,14,20.01,21.55,23.15,0
2024-03-02,Budesonide,103,17,3465.56,0,1,AstraZeneca,14,20.84,23.28,23.67,0
2024-03-03,Budesonide,87,22,4393.61,0,1,AstraZeneca,7,22.99,23.15,21.42,0
2024-03-04,Budesonide,72,23,4720.18,0,1,AstraZeneca,14,21.74,20.94,21.27,0
2024-03-05,Budesonide,56,18,3660.63,0,1,AstraZeneca,7,24.02,18.84,22.84,0
2024-03-06,Budesonide,41,21,4624.51,0,1,AstraZeneca,7,21.24,19.84,22.36,0
2024-03-07,Budesonide,26,19,4150.19,0,1,AstraZeneca,5,20.08,22.8,21.07,0
2024-03-08,Budesonide,10,22,4759.59,0,1,AstraZeneca,5,21.58,20.62,21.07,0
2024-03-09,Budesonide,1,20,4263.99,0,1,AstraZeneca,10,23.0,21.01,20.57,0
2024-03-10,Budesonide,1,22,4688.57,0,1,AstraZeneca,5,23.48,22.76,22.47,0
2024-03-11,Budesonide,180,21,4198.34,0,0,AstraZeneca,14,21.82,19.93,22.48,0
2024-03-12,Budesonide,164,18,3628.39,0,0,AstraZeneca,5,21.91,24.56,22.23,0
2024-03-13,Budesonide,149,24,5255.57,0,1,AstraZeneca,7,20.02,21.96,21.28,0
2024-03-14,Budesonide,133,18,3905.59,0,0,AstraZeneca,5,21.17,22.07,23.28,0
2024-03-15,Budesonide,118,19,3943.84,0,1,AstraZeneca,5,22.79,22.43,21.78,0
2024-03-16,Budesonide,103,19,3908.32,0,1,AstraZeneca,14,22.01,24.65,21.16,0
2024-03-17,Budesonide,87,23,4699.96,0,1,AstraZeneca,10,21.11,20.4,21.58,0
2024-03-18,Budesonide,72,19,4138.89,0,1,AstraZeneca,14,22.53,19.78,23.22,0
2024-03-19,Budesonide,56,24,5184.08,0,1,AstraZeneca,5,21.81,22.44,23.41,0
2024-03-20,Budesonide,41,28,6064.11,0,1,AstraZeneca,5,20.17,19.76,22.82,0
