date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Paracetamol,800,42,775.75,0,0,Abbott India,10,47.58,51.18,42.54,0
2024-01-02,Paracetamol,768,39,723.56,0,0,Abbott India,10,47.76,46.68,43.34,0
2024-01-03,Paracetamol,737,38,693.85,0,0,Abbott India,7,45.66,46.14,44.06,0
2024-01-04,Paracetamol,705,42,787.31,0,0,Abbott India,5,43.99,41.69,44.27,0
2024-01-05,Paracetamol,674,44,756.57,0,0,Abbott India,10,45.3,46.69,48.51,0
2024-01-06,Paracetamol,642,41,769.93,0,0,Abbott India,14,49.11,48.96,44.27,0
2024-01-07,Paracetamol,611,43,754.74,0,0,Abbott India,5,42.97,47.68,42.5,0
2024-01-08,Paracetamol,579,41,769.79,0,0,Abbott India,7,45.5,39.69,48.34,0
2024-01-09,Paracetamol,548,47,805.26,0,0,Abbott India,14,45.21,40.79,42.14,0
2024-01-10,Paracetamol,516,55,1028.71,0,0,Abbott India,5,46.4,50.74,43.18,0
2024-01-11,Paracetamol,485,37,669.39,0,0,Abbott India,10,48.08,46.26,44.35,0
2024-01-12,Paracetamol,453,32,597.46,0,0,Abbott India,10,44.46,48.67,45.12,0
2024-01-13,Paracetamol,422,50,856.56,0,0,Abbott India,14,44.09,51.45,45.05,0
2024-01-14,Paracetamol,390,45,849.0,0,0,Abbott India,5,44.86,41.28,45.27,0
2024-01-15,Paracetamol,800,53,986.04,0,0,Abbott India,7,47.97,47.15,46.7,0
2024-01-16,Paracetamol,768,28,522.09,0,0,Abbott India,7,49.22,46.7,44.17,0
2024-01-17,Paracetamol,737,48,897.68,0,0,Abbott India,5,41.29,50.75,44.68,0
2024-01-18,Paracetamol,705,44,808.98,0,0,Abbott India,14,46.56,41.09,47.43,0
2024-01-19,Paracetamol,674,44,824.45,0,0,Abbott India,10,49.19,49.18,48.17,0
2024-01-20,Paracetamol,642,46,792.49,0,0,Abbott India,5,40.84,46.6,42.34,0
2024-01-21,Paracetamol,611,46,806.4,0,0,Abbott India,14,43.98,50.48,43.51,0
2024-01-22,Paracetamol,579,24,411.13,0,0,Abbott India,14,44.98,49.38,47.28,0
2024-01-23,Paracetamol,548,41,710.83,0,0,Abbott India,14,44.86,50.27,43.54,0
2024-01-24,Paracetamol,516,36,644.89,0,0,Abbott India,7,46.53,41.88,44.35,0
2024-01-25,Paracetamol,485,34,627.92,0,0,Abbott India,10,45.58,50.22,46.19,0
2024-01-26,Paracetamol,453,36,631.56,0,0,Abbott India,5,47.68,48.87,44.02,0
2024-01-27,Paracetamol,422,47,809.38,0,0,Abbott India,5,47.07,48.37,42.81,0
2024-01-28,Paracetamol,390,37,666.15,0,0,Abbott India,5,45.04,47.48,45.63,0
2024-01-29,Paracetamol,800,42,742.25,0,0,Abbott India,5,46.71,48.13,41.71,0
2024-01-30,Paracetamol,768,37,682.06,0,0,Abbott India,7,41.62,43.92,42.8,0
2024-01-31,Paracetamol,737,42,785.01,0,0,Abbott India,14,45.96,38.56,48.1,0
2024-02-01,Paracetamol,705,43,792.0,0,0,Abbott India,5,47.87,40.95,45.57,0
2024-02-02,Paracetamol,674,44,759.17,0,0,Abbott India,10,41.18,51.03,48.03,0
