date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Ranitidine,20,33,2097.66,4,1,RECALLED - Sanofi,7,41.91,40.49,42.77,8
2024-01-02,Ranitidine,1,43,2765.19,4,1,RECALLED - Sanofi,7,39.28,44.06,37.99,8
2024-01-03,Ranitidine,1,42,2854.33,5,1,RECALLED - Sanofi,5,41.15,38.73,39.8,5
2024-01-04,Ranitidine,1,36,2373.53,3,1,RECALLED - Sanofi,14,37.11,44.2,42.87,3
2024-01-05,Ranitidine,1,42,2629.21,4,1,RECALLED - Sanofi,14,39.65,42.57,41.87,20
2024-01-06,Ranitidine,1,33,2082.14,3,1,RECALLED - Sanofi,5,39.29,35.29,39.32,21
2024-01-07,Ranitidine,1,38,2536.82,2,1,RECALLED - Sanofi,14,41.53,45.52,40.9,2
2024-01-08,Ranitidine,1,39,2626.15,5,1,RECALLED - Sanofi,10,41.84,41.22,41.03,5
2024-01-09,Ranitidine,1,42,2840.49,5,1,RECALLED - Sanofi,5,40.65,35.31,39.74,20
2024-01-10,Ranitidine,1,44,2845.21,2,1,RECALLED - Sanofi,7,36.54,42.77,40.01,6
2024-01-11,Ranitidine,1,40,2660.52,4,1,RECALLED - Sanofi,7,41.22,40.71,39.12,24
2024-01-12,Ranitidine,1,40,2696.72,3,1,RECALLED - Sanofi,14,37.83,35.91,41.81,12
2024-01-13,Ranitidine,1,39,2615.03,5,1,RECALLED - Sanofi,7,38.62,41.9,37.59,10
2024-01-14,Ranitidine,1,38,2540.42,3,1,RECALLED - Sanofi,5,36.6,39.7,39.5,15
2024-01-15,Ranitidine,20,33,2195.3,3,1,RECALLED - Sanofi,7,41.72,38.43,39.51,18
2024-01-16,Ranitidine,1,46,2906.6,4,1,RECALLED - Sanofi,7,36.26,41.3,42.87,20
2024-01-17,Ranitidine,1,36,2386.94,5,1,RECALLED - Sanofi,10,41.07,44.49,41.58,30
2024-01-18,Ranitidine,1,36,2364.98,3,1,RECALLED - Sanofi,5,39.65,39.49,36.9,6
2024-01-19,Ranitidine,1,41,2571.45,3,1,RECALLED - Sanofi,5,43.67,44.26,37.3,12
2024-01-20,Ranitidine,1,33,2040.29,2,1,RECALLED - Sanofi,10,38.42,36.86,40.43,4
2024-01-21,Ranitidine,1,41,2795.22,2,1,RECALLED - Sanofi,14,36.65,44.97,39.94,12
2024-01-22,Ranitidine,1,32,2178.45,5,1,RECALLED - Sanofi,10,42.89,40.46,42.42,15
2024-01-23,Ranitidine,1,53,3279.2,4,1,RECALLED - Sanofi,10,41.19,44.52,39.24,20
2024-01-24,Ranitidine,1,42,2779.81,2,1,RECALLED - Sanofi,7,39.89,45.53,39.83,10
2024-01-25,Ranitidine,1,36,2361.34,5,1,RECALLED - Sanofi,14,41.59,40.12,37.97,25
2024-01-26,Ranitidine,1,41,2606.89,3,1,RECALLED - Sanofi,5,43.02,43.71,40.43,21
2024-01-27,Ranitidine,1,40,2590.79,2,1,RECALLED - Sanofi,7,36.9,38.57,41.76,14
2024-01-28,Ranitidine,1,41,2622.89,2,1,RECALLED - Sanofi,10,36.12,44.56,37.45,14
2024-01-29,Ranitidine,20,39,2518.52,3,1,RECALLED - Sanofi,5,38.61,36.91,40.7,12
2024-01-30,Ranitidine,1,45,2818.8,4,1,RECALLED - Sanofi,7,42.71,42.9,42.76,16
2024-01-31,Ranitidine,1,41,2578.66,2,1,RECALLED - Sanofi,5,40.79,36.16,39.87,12
2024-02-01,Ranitidine,1,44,2815.1,4,1,RECALLED - Sanofi,14,39.61,38.0,38.74,24
2024-02-02,Ranitidine,1,43,2709.23,2,1,RECALLED - Sanofi,5,36.37,45.84,38.49,8
2024-02-03,Ranitidine,1,44,2822.75,4,1,RECALLED - Sanofi,14,42.85,37.65,38.73,20
2024-02-04,Ranitidine,1,45,2957.76,2,1,RECALLED - Sanofi,14,42.11,42.88,42.11,8
2024-02-05,Ranitidine,1,35,2296.68,2,1,RECALLED - Sanofi,10,39.94,45.42,38.02,12
2024-02-06,Ranitidine,1,42,2819.75,3,1,RECALLED - Sanofi,10,37.85,40.67,41.97,18
2024-02-07,Ranitidine,1,44,2720.76,3,1,RECALLED - Sanofi,5,40.24,42.0,39.04,9
2024-02-08,Ranitidine,1,37,2436.63,3,1,RECALLED - Sanofi,5,39.9,44.23,38.06,12
2024-02-09,Ranitidine,1,38,2525.3,5,1,RECALLED - Sanofi,5,37.34,41.03,42.67,15
2024-02-10,Ranitidine,1,33,2189.4,3,1,RECALLED - Sanofi,7,42.47,44.9,42.01,18
2024-02-11,Ranitidine,1,39,2476.49,4,1,RECALLED - Sanofi,14,36.23,39.4,40.97,4
2024-02-12,Ranitidine,20,43,2720.91,4,1,RECALLED - Sanofi,7,38.19,43.56,37.91,16
