date,Generic_Drug,quantity_available,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,Supplier,Lead_Time_Days,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d
2024-01-01,Amoxicillin Syrup,45,14,1314.76,0,1,Abbott India,5,11.93,11.47,12.4,0
2024-01-02,Amoxicillin Syrup,36,10,970.83,0,1,Abbott India,10,11.84,11.12,11.46,0
2024-01-03,Amoxicillin Syrup,28,13,1174.44,0,1,Abbott India,5,11.78,10.29,11.46,0
2024-01-04,Amoxicillin Syrup,19,12,1124.22,0,1,Abbott India,14,12.28,12.07,12.5,0
2024-01-05,Amoxicillin Syrup,11,14,1292.0,0,1,Abbott India,5,12.35,12.78,11.23,0
2024-01-06,Amoxicillin Syrup,3,12,1168.64,0,1,Abbott India,10,11.06,11.81,12.12,0
2024-01-07,Amoxicillin Syrup,1,12,1130.89,0,1,Abbott India,7,12.52,10.68,12.46,0
2024-01-08,Amoxicillin Syrup,1,10,944.74,0,1,Abbott India,5,11.86,12.58,12.92,0
2024-01-09,Amoxicillin Syrup,1,10,913.77,0,1,Abbott India,5,11.95,11.14,11.3,0
2024-01-10,Amoxicillin Syrup,1,10,971.31,0,1,Abbott India,14,12.87,10.94,12.42,0
2024-01-11,Amoxicillin Syrup,1,14,1289.17,0,1,Abbott India,7,11.05,10.38,12.69,0
2024-01-12,Amoxicillin Syrup,1,11,1002.02,0,1,Abbott India,14,11.01,12.85,12.64,0
2024-01-13,Amoxicillin Syrup,1,10,972.7,0,1,Abbott India,10,11.19,10.46,11.65,0
2024-01-14,Amoxicillin Syrup,1,10,981.83,0,1,Abbott India,5,12.54,12.7,11.43,0
2024-01-15,Amoxicillin Syrup,45,12,1140.7,0,1,Abbott India,5,12.95,11.57,12.36,0
2024-01-16,Amoxicillin Syrup,36,12,1094.78,0,1,Abbott India,5,10.85,11.54,12.47,0
2024-01-17,Amoxicillin Syrup,28,13,1225.0,0,1,Abbott India,14,12.66,12.09,11.59,0
2024-01-18,Amoxicillin Syrup,19,11,1046.31,0,1,Abbott India,10,11.24,12.63,12.36,0
2024-01-19,Amoxicillin Syrup,11,13,1296.51,0,1,Abbott India,14,11.78,12.32,11.41,0
2024-01-20,Amoxicillin Syrup,3,13,1294.36,0,1,Abbott India,14,11.39,13.41,12.06,0
2024-01-21,Amoxicillin Syrup,1,13,1284.45,0,1,Abbott India,14,12.2,10.73,11.61,0
2024-01-22,Amoxicillin Syrup,1,9,845.83,1,1,Abbott India,5,12.08,12.66,11.9,3
2024-01-23,Amoxicillin Syrup,1,10,980.52,0,1,Abbott India,5,10.81,11.57,12.19,0
2024-01-24,Amoxicillin Syrup,1,14,1341.99,0,1,Abbott India,7,11.21,13.27,12.71,0
2024-01-25,Amoxicillin Syrup,1,10,930.06,0,1,Abbott India,5,12.47,12.13,11.08,0
2024-01-26,Amoxicillin Syrup,1,12,1096.33,0,1,Abbott India,5,12.28,13.52,11.22,0
2024-01-27,Amoxicillin Syrup,1,11,1078.79,0,1,Abbott India,14,10.95,10.44,11.12,0
2024-01-28,Amoxicillin Syrup,1,11,1091.56,0,1,Abbott India,5,12.35,12.67,11.53,0
2024-01-29,Amoxicillin Syrup,45,12,1117.92,0,1,Abbott India,7,13.15,11.74,11.79,0
2024-01-30,Amoxicillin Syrup,36,10,981.28,0,1,Abbott India,5,11.59,10.64,11.94,0
2024-01-31,Amoxicillin Syrup,28,9,854.97,0,1,Abbott India,7,12.09,11.2,11.99,0
2024-02-01,Amoxicillin Syrup,19,8,787.67,0,1,Abbott India,7,11.1,10.39,12.51,0
2024-02-02,Amoxicillin Syrup,11,12,1102.89,0,1,Abbott India,10,11.74,12.0,12.05,0
2024-02-03,Amoxicillin Syrup,3,13,1246.64,0,1,Abbott India,5,11.79,11.55,12.07,0
2024-02-04,Amoxicillin Syrup,1,11,1053.95,0,1,Abbott India,5,11.31,12.08,12.29,0
2024-02-05,Amoxicillin Syrup,1,11,1037.28,0,1,Abbott India,5,12.95,11.25,11.67,0
2024-02-06,Amoxicillin Syrup,1,10,974.89,0,1,Abbott India,14,11.57,11.73,12.63,0
2024-02-07,Amoxicillin Syrup,1,11,1066.95,0,1,Abbott India,10,12.21,12.67,12.78,0
2024-02-08,Amoxicillin Syrup,1,12,1114.39,0,1,Abbott India,5,11.25,12.21,12.28,0
2024-02-09,Amoxicillin Syrup,1,10,960.59,0,1,Abbott India,7,11.17,12.09,12.18,0
2024-02-10,Amoxicillin Syrup,1,12,1106.14,0,1,Abbott India,7,11.33,10.44,12.47,0
2024-02-11,Amoxicillin Syrup,1,13,1246.99,0,1,Abbott India,14,11.65,13.21,12.05,0
2024-02-12,Amoxicillin Syrup,45,9,897.39,0,1,Abbott India,10,11.4,12.64,11.28,0
2024-02-13,Amoxicillin Syrup,36,11,1089.97,0,1,Abbott India,14,12.32,10.2,11.95,0
2024-02-14,Amoxicillin Syrup,28,7,676.47,0,1,Abbott India,5,11.25,12.11,11.49,0
2024-02-15,Amoxicillin Syrup,19,13,1206.73,0,1,Abbott India,14,13.06,11.04,11.13,0
2024-02-16,Amoxicillin Syrup,11,10,986.91,1,1,Abbott India,7,11.94,13.03,11.47,7
2024-02-17,Amoxicillin Syrup,3,11,997.36,0,1,Abbott India,7,13.08,11.49,12.5,0
2024-02-18,Amoxicillin Syrup,1,9,880.31,0,1,Abbott India,7,12.25,12.32,11.27,0
2024-02-19,Amoxicillin Syrup,1,12,1189.43,0,1,Abbott India,5,12.99,12.97,12.39,0
2024-02-20,Amoxicillin Syrup,1,14,1346.01,0,1,Abbott India,10,12.83,12.44,11.38,0
2024-02-21,Amoxicillin Syrup,1,12,1102.68,0,1,Abbott India,10,11.97,13.62,12.41,0
2024-02-22,Amoxicillin Syrup,1,13,1194.6,0,1,Abbott India,10,12.78,11.32,11.56,0
2024-02-23,Amoxicillin Syrup,1,13,1278.33,0,1,Abbott India,7,10.9,13.08,12.63,0
2024-02-24,Amoxicillin Syrup,1,10,962.22,0,1,Abbott India,14,12.26,12.05,11.32,0
2024-02-25,Amoxicillin Syrup,1,13,1180.93,0,1,Abbott India,7,11.75,11.42,11.41,0
2024-02-26,Amoxicillin Syrup,45,10,969.93,0,1,Abbott India,14,11.46,10.53,12.02,0
2024-02-27,Amoxicillin Syrup,36,12,1102.84,0,1,Abbott India,14,11.65,12.29,12.45,0
2024-02-28,Amoxicillin Syrup,28,14,1381.26,0,1,Abbott India,5,13.08,11.17,12.49,0
2024-02-29,Amoxicillin Syrup,19,9,822.5,0,1,Abbott India,7,11.39,12.78,12.6,0
2024-03-01,Amoxicillin Syrup,11,15,1393.92,1,1,Abbott India,10,12.78,11.77,12.07,4
2024-03-02,Amoxicillin Syrup,3,13,1258.79,0,1,Abbott India,5,11.91,12.08,12.87,0
2024-03-03,Amoxicillin Syrup,1,12,1174.08,0,1,Abbott India,5,12.91,11.69,12.0,0
2024-03-04,Amoxicillin Syrup,1,10,968.18,0,1,Abbott India,7,12.97,10.79,11.21,0
2024-03-05,Amoxicillin Syrup,1,11,1088.91,0,1,Abbott India,14,12.76,12.18,12.71,0
2024-03-06,Amoxicillin Syrup,1,11,1036.8,0,1,Abbott India,7,11.38,10.52,11.89,0
2024-03-07,Amoxicillin Syrup,1,14,1302.81,0,1,Abbott India,5,12.95,11.73,12.56,0
2024-03-08,Amoxicillin Syrup,1,12,1191.16,0,1,Abbott India,14,11.26,13.25,11.15,0
2024-03-09,Amoxicillin Syrup,1,11,1010.75,0,1,Abbott India,14,12.81,10.97,11.24,0
2024-03-10,Amoxicillin Syrup,1,9,875.4,1,1,Abbott India,10,12.31,12.93,11.48,2
2024-03-11,Amoxicillin Syrup,45,10,987.96,0,1,Abbott India,10,11.26,10.3,12.86,0
2024-03-12,Amoxicillin Syrup,36,10,932.88,0,1,Abbott India,7,11.62,10.61,12.0,0
2024-03-13,Amoxicillin Syrup,28,12,1095.82,0,1,Abbott India,5,11.1,12.92,12.41,0
2024-03-14,Amoxicillin Syrup,19,11,1017.39,0,1,Abbott India,7,10.95,11.2,12.96,0
2024-03-15,Amoxicillin Syrup,11,11,1082.42,0,1,Abbott India,10,12.94,11.3,12.29,0
2024-03-16,Amoxicillin Syrup,3,11,1072.78,0,1,Abbott India,10,12.73,12.57,12.76,0
2024-03-17,Amoxicillin Syrup,1,10,956.96,0,1,Abbott India,14,11.08,13.62,11.69,0
2024-03-18,Amoxicillin Syrup,1,14,1318.79,0,1,Abbott India,7,12.39,13.37,11.17,0
